AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"Rhys, Jean",Il grande mare dei Sargassi,Arnoldo Mondadori Editore,Gli Indimenticabili,1995,207
"Riba, Raffaella",Le ragioni delle foglie,Libroitaliano - Editrice Letteraria Internazionale,Poeti Italiani Contemporanei,2004,47
"Riccarelli, Ugo",Il dolore perfetto,Arnoldo Mondadori Editore,Oscar bestsellers,2005,325
"Rigoni Stern, Mario",Le stagioni di Giacomo,Arnoldo  Mondadori,Club degli Editori,1996,160
"Rigoni Stern, Mario",Sentieri sotto la neve,Einaudi,Club degli Editori,1999,124
"Rimbaud, Arthur",Una stagione in inferno - Illuminazioni,Arnoldo Mondadori Editore,Oscar poesia,1990,207
"Rizzo, Marco",Supermarket. A tavola con cosa nostra,Alberto Castelvecchi Editore,,2011,175
"Rodari, Gianni",C'era due volte il barone Lamberto,Einaudi,Einaudi ragazzi,1993,155
"Rogge, Jan- Uwe",Vietato entrare. Come affrontare con serenità l'adolescenza dei nostri figli,Pratiche Editrice,Nuovi Saggi,2003,245
"Romagnoli, Gabriele",Solo bagaglio a mano,Feltrinelli,Varia,2015,87
"Romano, Sergio",Lettera a un amico ebreo,Longanesi & C.,Il Cammeo,2002,182
"Rossi, Giampiero",La lana della salamandra. La vera storia della strage dell'amianto a Casale Monferrato,Casa editrice Ediesse,l'Unità,2008,151
"Roth, Joseph",La leggenda del santo bevitore,Adelphi Edizioni,,1988,72
"Roth, Joseph",La Marcia di Radetzky,SuperPocket,Biblioteca Superpocket,2004,424
"Roy, Arundhati",Il dio delle piccole cose,TEA - Tascabili degli Editori Associati,"""I Grandi "" TEA",2010,357
"Russell, Bertrand",Autorità e individuo,Corriere della sera,I classici del pensiero libero,2011,119
"Russell, Peter",Teorie e altre liriche,Carlo Mancosu Editore,,1990,238
"Ruzzi, Marco",La Resistenza nel Saluzzese,Primalpe,I Resistenti,2000,307
"Sade, Donatien-Alphonse-François",Le sventure della virtù,Newton Compton editori,Grandi Tascabili Economici,1992,154
Saffo,"Frammenti. La donna, l'amore, la poesia",Demetra,Acquarelli,1993,59
"Salgari, Emilio",La montagna di luce,Garzanti Editore,I Garzanti,1972,277
"Salinger, Jerome David",Il giovane Holden,La biblioteca di Repubblica,Novecento,2002,238
"Sanino, Domenico - Sciandra, Adriano",Cuneo tra parchi e giardini. Indagine storica ed elenco delle specie presenti tra Gesso e Stura,Edizioni l'Arciere,,1998,319
Sant'Agostino,Amore. Un nutrimento dell'anima,Il Sole 24 Ore,Gli Indispensabili,2014,77
Sant'Agostino,Le confessioni,Rizzoli Editore,I classici della BUR,1980,409
"Saramago, José",Cecità,Feltrinelli,Universale Economica Feltrinelli,2020,276
"Sarfatti, Michele",La Shoah in Italia. La persecuzione degli ebrei sotto il fascismo,Giulio Einaudi editore,La Stampa,2013,165
"Sartre, Jean-Paul",La nausea,Istituto Geografico De Agostini,Tesori della Narrativa Universale,1985,232
"Sartre, Jean-Paul",La sgualdrina timorata - Nekrassov,Arnoldo Mondadori Editore,Gli Oscar,1968,249
"Savatteri, Gaetano; Grignetti, Francesco",Mafia Capitale. L'atto di accusa della procura di Roma,Melampo Editore,,2015,326
"Saviane, Giorgio",Il passo lungo,Newton Compton editori,Biblioteca Economica Newton,1995,152
"Saviano, Roberto",La bellezza e l'inferno,Oscar Mondadori,Piccola Biblioteca Oscar,2010,252
"Saviano, Roberto",Vieni via con me,Feltrinelli,Varia,2011,155
"Saviano, Roberto",Zero Zero Zero,Feltrinelli,I Narratori,2013,444
"Saviano, Roberto",Gomorra,Arnoldo Mondadori Editore,Strade blu,2007,331
"Scheibler, Susanne",Tanja,Arnoldo Mondadori Editore,I Romanzi  ,1979,258
"Schmitt, Eric-Emmanuel",Il lottatore di sumo che non diventava grosso,Edizioni e/o,Dal mondo,2009,114
"Schneider, Helga",Heike riprende a respirare,Adriano Salani Editore,,2008,123
"Schnitzler, Arthur",Doppio sogno,Mondolibri,,1999,131
"Schopenhauer, Arthur",L'arte di trattare le donne,Adelphi Edizioni,Piccola Biblioteca Adelphi,2000,102
"Schopenhauer, Arthur",L'arte di essere felici. Esposta in 50 massime,Mondolibri,,2000,113
"Schopenhauer, Arthur",L'arte di essere felici. Esposta in 50 massime,Adelphi Edizioni,Piccola Biblioteca Adelphi,2017,113
"Sciascia, Leonardo",A ciascuno il suo,Mondolibri,,2009,151
"Sciascia, Leonardo",Porte aperte - Il giorno della civetta,Euroclub,,1989,200
"Sciolochov, Michail",Il placido Don,Garzanti,Garzanti per tutti,1965,409
"Sciolochov, Michail A.",Il placido Don; volume I,Editori Riuniti,,1959,488
"Sciolochov, Michail A.",Il placido Don; volume II,Editori Riuniti,,1959,459
"Sciolochov, Michail A.",Il placido Don; volume III,Editori Riuniti,,1959,541
"Sciolochov, Michail A.",Il placido Don; volume IV,Editori Riuniti,,1959,593
"Sciolochov, Michail A.",Terre vergini,Garzanti Editore,Garzanti per tutti,1966,318
"Scorza, Manuel",Rulli di tamburi per Rancas,Feltrinelli,Universale Economica Feltrinelli,1978,235
"Sebold, Alice",Amabili resti,Edizioni e/o,Dal mondo,2009,345
"Segal, Erich",Love Story,Arnoldo Mondadori Editore,I romanzi d'amore di Grazia,1982,173
"Segal, Erich",Un solo grande ammore,Edizione Euroclub Italia,,1999,214
Selezione dalReader's Digest,Storie segrete dell'ultima guerra,Selezione dal Reader's Digest,,1960,480
"Semprun, Jorge",Il grande viaggio,Giulio Einaudi editore,I coralli,1964,220
Seneca,La felicità,Il Sole 24 Ore,Gli Indispensabili,2014,78
"Senesi, Vauro",Kualid che non riusciva a sognare,Edizione Piemme,Bestseller,2009,169
"Sepúlveda, Luis",Il grande libro delle favole,Ugo Guanda Editore,,2020,517
"Sepúlveda, Luis",Jacaré,Mondolibri,,1999,109
"Sepúlveda, Luis",Le rose di Atacama,Mondolibri,,2000,172
"Sepúlveda, Luis",L'ombra di quel che eravamo,Mondolibri,,2009,148
"Sepúlveda, Luis",Storia di una gabbianella e del gatto che le insegnò a volare,Salani Editore,La Biblioteca di Topolino,2005,126
"Sepúlveda, Luis",Storia di una gabbianella e del gatto che le insegnò a volare,Euroclub,,1998,126
"Sepúlveda, Luis",Un nome da torero,Ugo Guanda Editore,Superpocket,2001,174
"Sepúlveda, Luis",La frontiera scomparsa,Ugo Guanda Editore,Narratori della fenice,1996,125
"Sepúlveda, Luis",Incontrod'amore in un paese in guerra,Ugo Guanda Editore,Edizione Mondolibri,2001,198
"Sepúlveda, Luis",Il vecchio che leggeva romanzi d'amore,Ugo Guanda Editore,Tascabili Guanda - Narrativa,2020,132
"Serra, Michele",Gli sdraiati,Mondolibri,,2014,108
Sgorlon Carlo,La foiba grande,Arnoldo Mondadori Editore,Scrittori italiani,1992,320
"Sgrena, Giuliana",Fuoco amico,Feltrinelli,Serie Bianca Feltrinelli,2006,157
"Shakespeare, William",Amleto (Testo inglese a fronte),Rizzoli,Bur - Biblioteca Universale Rizzoli,2005,287
"Shakespeare, William",Romeo e Giulietta (Testo inglese a fronte),Garzanti Editore,i grandi libri Garzanti,1999,237
"Shakespeare, William","Tutto il teatro. 1. La tempesta, I due gentiluomini di Verona, Le allegre comari di Windsor, Misura per misura, La commedia degli errori, Molto rumore per nulla, Pene d'amor perdute",Newton Compton editori,Grandi Economici Tascabili Newton,1993,434
"Shakespeare, William","Tutto il teatro. 2. Sogno di una notte di mezza estate, Il mercante di venezia, Come vi piace, La bisbetica domata, Tutto è bene quel che finisce bene, La dodicesima notte, Il racconto d'inverno",Newton Compton editori,Grandi Economici Tascabili Newton,1993,428
"Shakespeare, William","Tutto il teatro. 3. Re Giovanni, Riccardo II, Enrico IV, Enrico V, Enrico VI, Riccardo III, Enrico VIII",Newton Compton editori,Grandi Economici Tascabili Newton,1993,743
"Shakespeare, William","Tutto il teatro. 4. Troila e Cressida, Coriolano, Tito Andronico, Romeo e Giulietta, Timone D'Atene, Giulio Cesare",Newton Compton editori,Grandi Economici Tascabili Newton,1993,391
"Shakespeare, William","Tutto il teatro. 5. Macbeth, Amleto, Re Lear, Otello, Antonio e Cleopatra, Cimbelino, Pericle",Newton Compton editori,Grandi Economici Tascabili Newton,1993,500
"Shakespeare, William",Amleto,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,287
"Shakespeare, William",Otello,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,249
"Shakespeare, William",Antonio e Cleopatra,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,249
"Shakespeare, William",Coriolano,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,281
"Shakespeare, William",I due nobili congiunti,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,281
"Shakespeare, William",La bisbetica domata,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,213
"Shakespeare, William",La commedia degli errori,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,137
"Shakespeare, William",Pene d'amor perdute,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,191
"Shakespeare, William",Sogno di una notte di mezza estate,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,181
"Shakespeare, William",Pericle principe di Tiro,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,173
"Shakespeare, William",Cymbeline,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,277
"Shakespeare, William",Il racconto d'inverno,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,207
"Shakespeare, William",Enrico VI. Parte prima,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,287
"Shakespeare, William",Enrico VI. Parte seconda,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,201
"Shakespeare, William",Enrico VI. Parte terza,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,191
"Shakespeare, William",Riccardo III,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,301
"Shakespeare, William",Re Giovanni,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,175
"Shakespeare, William",Riccardo II,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,241
"Shakespeare, William",Enrico IV. Parte prima,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,251
"Shakespeare, William",Enrico IV. Parte seconda,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,501
"Shakespeare, William",Enrico VIII,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,221
"Shakespeare, William",Sonetti. Volume primo,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,285
"Shakespeare, William",Sonetti. Volume secondo,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,253
"Shakespeare, William",Sonetti. Volume terzo,Fabbri Editori,Tutte le opere - Testo inglese a fronte,2003,283
"Shaw, George Bernard",Pigmalione,Arnoldo Mondadori Editore,Oscar classici moderni,1997,146
"Shelley, Mary",Frankenstein,Editoriale Opportunity Book,La Biblioteca Ideale Tascabile,1995,189
"Shiva, Vandana",Le guerre dell'acqua,Feltrinelli,Saggi - Universale economica,2007,158
"Silone, Ignazio",Il segreto di Luca,Arnoldo Mondadori Editore,Letture per le Scuole Medie,1999,186
"Simenon, Georges",Maigret si sbaglia,RCS Quotidiani,Corriere della Sera,2010,161
Sir Albert Howard,I diritti della terra,Slow Food Editore,TerraMadre,2008,255
"Siti, Walter",Resistere non serve a niente,Rizzoli,,2013,320
"Sparaco, Simona",Sono cose da grandi,Giulio Einaudi editore,Stile Libero Big,2017,98
"Sparks, Nicholas",La scelta,Sperling & Kupfer Editori,Sperling Paperback,2010,304
"Spataro, Armando","Ne vale la pena. Storie di terrorismi e mafie, di segreti di stato e di giustizia offesa",Editori Laterza,i Robinson/ Letture,2010,575
"Spinelli, Altiero - Rossi, Ernesto",Il manifesto di Ventotene,Corriere della sera,I classici del pensiero libero,2011,176
"Steinbeck, John",La luna è tramontata,Arnoldo Mondadori Editore,Gli Oscar. I libri settimanali Mondadori,1965,237
"Steinbeck, John",La valle dell'Eden,Arnoldo Mondadori Editore,Gli Oscar,1971,675
"Steinbeck, John",Le gesta di Re Artù e dei suoi nobili cavalieri,Fabbri Editori,I grandi classici della fiaba,2002,278
Stendhal,La certosa di Parma,Crescere Edizioni,Grandi Classici,2012,477
Stendhal,La certosa di Parma,Editrice La Stampa,I Classici La Stampa 8,2003,402
Stendhal,Il rosso e il nero,Giulio Einaudi editore,Einaudi Tascabili. Letteratura,2000,549
"Stevenson, Robert Louis",Lo strano caso del dottor Jekyll e del signor Hyde (Testo a fronte),Arnoldo Mondadori Editore,Oscar Classici,2016,275
"Stevenson, Robert Louis",L'isola del tesoro,Editrice La Stampa,I Classici La Stampa 14,2003,235
"Stewart, Mary",La foresta incantata,Rizzoli,Biblioteca Universale Rizzoli,1994,234
"Stowe, Harriet Beecher",La capanna dello zio Tom,La Scuola Editrice,,1968,534
"Strada, Gino",Pappagalli verdi,Feltrinelli,Universale economica,2001,156
"Svevo, Italo",La coscienza di Zeno,Dall'Oglio editore,I Corvi dall'Oglio,1980,480
"Szymborska, Wisława",La fine e l'inizio,Libri Scheiwiller,Poesia,2004,97
"Szymborska, Wisława",La gioia di scrivere. Tutte le poesie (1945 - 2009),Adelphi Edizioni,gli Adelphi,2018,774
"Tagore, Rabindranath",Lipika,SE Studio Editoriale,Piccola Enciclopedia,1985,93
"Tagore, Rabindranath",Ghitàngioli,Ugo Guanda Editore,Collana Fenice,1970,157
"Tamaro, Susanna",Anima Mundi,Baldini&Castoldi,,1997,282
"Tamaro, Susanna",Dinuovo fuori. Quattro storie tese che non perdonano,Rizzoli,Superpocket,2004,127
"Tamaro, Susanna",Fuori,Rizzoli,,2003,129
"Tamaro, Susanna",Per voce sola,Baldini&Castoldi,Tascabili,1994,167
"Tamaro, Susanna",Va' dove ti porta il cuore,Baldini&Castoldi,,1995,165
"Tamaro, Susanna",Va' dove ti porta il cuore,Baldini&Castoldi,,1994,165
"Tamaro, Susanna",Ascolta la mia voce,Rizzoli Editore,La Scala,2006,213
"Tawfik, Younis",La straniera,Tascabili Bompiani,,2001,204
"Tecchi, Bonaventura",Storie d'alberi e di fiori,Bompiani,I delfini d'acciaio,1964,193
"Ternavasio, Giovanna","Undici donne, una",Editrice Tipografia Baima - Ronchetti,Biblioteca degli scrittori piemontesi,2019,230
"Thoreau, Henry David",Walden. Vita nel bosco,Feltrinelli,Universale Economica Feltrinelli / Classici,2020,328
"Timpone, Mariana",Il volo libero della farfalla,Fuorirotta,,2013,101
"Tobino, Mario",Gli ultimi giorni di Magliano,Arnoldo Mondadori Editore,,1982,155
"Tobino, Mario",Il clandestino,Arnoldo Mondadori Editore,Club degli Editori,1969,484
"Tolstòj, Lev Nikolàevič",La sonata a Kreutzer,Arnoldo Mondadori Editore,,1968,158
"Tolstòj, Lev Nikolàevič",Anna Karénina,Edizione Euroclub Italia,Biblioteca Classica,1982,647
"Tolstòj, Lev Nikolàevič",Anna Karénina. Volume secondo,Garzanti Editore,I Garzanti. I Grandi Libri,1973,823
"Tolstòj, Lev Nikolàevič",Guerra e pace,BUR - Biblioteca Universale Rizzoli,i grandi romanzi BUR,2008,1451
"Tolstòj, Lev Nikolàevič",Anna Karenina. Parte seconda,Editrice La Stampa,I Classici La Stampa 2,2003,823
"Tolstòj, Lev Nikolàevič",Anna Karenina. Parte prima,Editrice La Stampa,I Classici La Stampa 1,2003,441
"Tolstòj, Lev Nikolàevič",Anna Karenina,Crescere Edizioni,,2014,796
"Tomasi di Lampedusa, Giuseppe",Il Gattopardo e i Racconti - Il mattino di un mazzadro - La gioia e la legge - Lighea - I luoghi della mia prima infanzia,Feltrinelli,gli Astri 5,1968,450
"Tomasi di Lampedusa, Giuseppe",Il Gattopardo,Feltrinelli,Universale Economica,1963,187
"Tong Cuong, Valérie",L'atelier dei miracoli,Salani Editore,,2014,215
"Tornielli, Andrea - Guerriero, Jacopo",Partigiano di Dio. Flavio e Gedeone Corrà,Edizioni San Paolo,,2005,166
"Treichel, Hans-Ulrich",Il fratello perduto,Giulio Einaudi editore,,2000,93
"Trevor, William","L'amore, un'estate",Edizione Mondolibri,,2010,217
"Tropper, Jonathan",Dopo di Lei,Edizione Mondolibri,,2007,335
"Trotskij, Lev Davidovič",Storia della Rivoluzione russa. Vol. I. La Rivoluzione di febbraio,Newton Compton editori,Grandi Tascabili Economici Newton,1994,364
"Trotskij, Lev Davidovič",Storia della Rivoluzione russa. Vol. II. La Rivoluzione di ottobre,Newton Compton editori,Grandi Tascabili Economici Newton,1994,507
"Tsunetomo, Yamamoto",Hagakure. Il codice segreto dei Samurai,Giulio Einaudi editore,Einaudi Tascabili. Stile libero,2001,204
"Twain, Mark",Il principe e il povero,Arnoldo Mondadori Editore,Leggere i Classici,1998,219
"Uhlman, Fred",L'amico ritrovato,Feltrinelli,Universale Economica Feltrinelli,1994,92
"Uhlman, Fred",L'amico ritrovato,Feltrinelli,Universale Economica Feltrinelli,1995,92
"Uhlman, Fred","Niente resurrezioni, per favore",Ugo Guanda Editore,Teadue,1993,91
"Uhlman, Fred",Storia di un uomo,Feltrinelli,Universale Economica Feltrinelli,1991,213
"Uhlman, Fred",L'amico ritrovato,Feltrinelli,Edizione CDE,1988,92
"Uhlman, Fred",L'amico ritrovato,Feltrinelli,Universale Economica Feltrinelli ,2013,92
"Uris, Leon",Mila 18. Il romanzo della rivolta del ghetto di Varsavia,Carlo Gallucci editore,uG universale Gallucci,2012,865
"Vecchioni, Roberto",Il libraio di Selinunte,Giulio Einaudi editore,Super ET,2011,65
"Veltroni, Walter",La scoperta dell'alba,Rizzoli,Rizzoli romanzo,2006,150
Verdi,"Verdi. Vita, genio e fortuna del re del melodramma",EditorialeDomus,Le grandi storie di Meridiani,2000,94
"Verga, Giovanni",I Malavoglia,Garzanti,i Grandi Libri,1980,341
"Verga, Giovanni",I Malavoglia,Oscar Mondadori,Oscar classici,1985,272
"Verga, Giovanni",Mastro - don Gesualdo ,Oscar Mondadori,Oscar classici,1984,407
"Verga, Giovanni",Storia di una Capinera,Crescere Edizioni,Grandi Classici,2013,126
"Verga, Giovanni",Tutte le novelle. Volume secondo,Arnoldo Mondadori Editore,Gli Oscar,1969,354
"Verga, Giovanni",Tutte le novelle. Volume primo,Arnoldo Mondadori Editore,Gli Oscar,1968,425
"Verga, Giovanni",Vita dei campi,Editrice l'Unità,I libri dell'Unità,1993,127
"Verga, Giovanni",Le cento pagine più belle,Case Editrici,Ex Libris,1981,104
"Verne, Jules",Viaggio al centro della terra,U. Mursia & C.,"Collana ""Corticelli""",1970,288
"Veronesi, Sandro",Caos calmo,Bompiani,,2006,451
"Veronesi, Umberto",Abbiamo fatto molta strada. Sillabario laico,RCS MediaGroup,Corriere della Sera,2016,221
"Vertamy, Alessandro",Mario Vertamy. Un uomo di scuola al servizio della sua città,Edizioni SalinZucca,Il sapore del sapere,2010,174
"Viada, Gabriele",L'ombra dei ricordi,Gruppo Albatros Il Filo,Tracce - NuoveVoci,2018,589
"Vinci, Simona",Strada Provinciale Tre,Einaudi,Stile libero Big,2007,228
"Viola, Lele",Paese. Una storia da raccontare,Primalpe,,2007,107
"Visocchi, Angelo","Verso Tangentopoli, Viaggio dentro lo stato",Demian Edizioni,Archivi del Presente,1993,122
"Vittorini, Elio",Uomini e no,Arnoldo Mondadori Editore,Gli oscar settimanali,1965,202
"Vittorini, Elio",Uomini e no,Edizioni Scolastiche Mondadori,Nuovo Airone,1977,203
"Volo, Fabrio",Il tempo che vorrei,Arnoldo Mondadori Editore,,2009,294
Voltaire,Candido. Ovvero l'ottimismo (testo a fronte),Arnoldo Mondadori Editore,Oscar classici Mondadori,1988,179
"Watzlawick, Paul",Istruzioni per rendersi infelici,Feltrinelli,Saggi - Universale Economica Feltrinelli,2003,102
"Weaver, Eva",Il piccolo burattino di Varsavia,Mondolibri,,2013,274
"Wells, Herbert G.",L'uomo invisibile,Newton Compton editori,Tascabili Economici Newton. I classici Superten,1993,237
"Wharton, William",Chiarore di mezzanotte,Edizioni Frassinelli,,1983,248
"Wilde, Oscar",Il fantasma di Canterville. Il compleanno dell'infanta.,Gruppo Editoriale l'Espresso,La biblioteca di Repubblica,2016,165
"Wilde, Oscar",Il ritratto di Dorian Gray,I libri di Gulliver,Le perle della letteratura universale,1986,269
"Wilde, Oscar",De Profundis,Arnoldo Mondadori Editore,Oscar classici,1989,150
"Wilde, Oscar",Il ritratto di Dorian Gray,Editrice La Stampa,I Classici La Stampa 3,2003,304
"Wilde, Oscar",Il principe felice,Fratelli Melita Editori,I capolavori della letteratura,1988,188
"Wilde, Oscar",Il principe felice e altre fiabe,Fabbri Editori,I grandi classici della fiaba,2002,193
"Woodward, Antony",Amori ultraleggeri,Casa Editrice Corbaccio,Narratori Corbaccio,2002,300
"Yessayan, Zabel",Nelle rovine,peQuod,,2008,237
"Zafόn, Carlos Ruiz",Il gioco dell'angelo,Oscar Mondadori,Grandi Bestsellers,2010,466
"Zafόn, Carlos Ruiz",Il gioco dell'angelo,Arnoldo Mondadori Editore,,2008,676
"Zafόn, Carlos Ruiz",L'ombra del vento,Oscar Mondadori,Grandi Bestsellers,2013,439
"Zafόn, Carlos Ruiz",Marina,Oscar Mondadori,Grandi Bestsellers,2010,310
"Zecchi, Stefano",Sensualità,Arnoldo Mondadori Editore,,1996,160
"Zerbini, Luisa","Il grande libro dei Santi. Tutti i Santi del calendario: vita, morte e miracoli",Lorenzo Barbera Editore,grandi libri,2011,401
"Ziegler, Jean",La fame nel mondo spiegata a mio figlio,Net,Saggi,2002,138
"Zolla, Elémire",La nube del telaio. Ragione e irrazionalità tra Oriente e Occidente,Arnoldo Mondadori Editore,Saggi,1996,130
"Zusak, Markus",Storia di una ladra di libri,Edizioni Frassinelli,,2014,562
"Pasquet, Jacques - Illustrazioni di Arbona, Marion",La mia isola ferita,EMI,Pirilampo,2012,23
"Máté, Angi - Illustrazioni di Szulyovszky, Sarolta",C'era una volta,Barbès Editore,Jeunesse,2012,41
Autori vari,Acqua bell'acqua. 10 store sul bene più prezioso,EMI,Favole dal mondo,2008,57
"Perrault, Charles - Illustrazioni di Macchia, Maria Sole",Il gatto con gli stivali,Corriere della sera,Le grandi fiabe,2005,40
"Manaresi, Laura - Illustrazioni di Manna, Giovanni",Don Chisciotte. Dal romanzo di Cervantes,Fabbri Editori,,2005,40
"Duncan Edwards, Pamela - Illustrazioni di Harry, Rebecca","A nanna, gattini!",EdizioniEL,Emme Edizioni,2005,24
Amnesty International,Non sopportiamo la tortura. Prefazione di Luis Sepúlveda,Rizzoli Editore,Libri Illustrati Rizzoli,2000,116
"Brown, Pam - Illustrazioni di Clarke, Juliette",Per un fratello molto speciale,Gruppo Editoriale EdiCart,Libri del Cuore,2006,24
"Schneider, Antonie - Illustrazioni di Gréban, Quentin - ","Lilli, la topolina",Nord-Sud Edizioni,,2003,24
"Naumann-Villemin, Christine - Illustrazioni di Barcilon, Marianne",Il cucciolo di Nina,Editrice Il Castoro,Bambini,2003,22
"Numeroff, Laura - Illustrazioni di Munsinger, Lynn",Le mamme sono brave a… - I papà sono bravi a…,Fabbri Editori,I girini,2002,38
"Huxley, Aldous",Brave New World. LIBRO IN INGLESE,Pearson Education,Readers,2008,124
"Fitzgerald, Francis Scott",The grat Gatsby. LIBRO IN INGLESE,ELI,Young Adult ELI Readers,2011,142
"Brontë, Emily",Wuthering heights. LIBRO IN INGLESE,ELI,Young Adult ELI Readers,2011,142
"Poe, Edgar Allan",Stories of mystery and suspence. LIBRO IN INGLESE,ELI,Young Adult ELI Readers,2013,126
"Shakespeare, William",Macbeth. LIBRO IN INGLESE,ELI,Young Adult ELI Readers,2011,95
"Dickens, Charles",David Copperfield. LIBRO IN INGLESE,ELI,Teen ELI Readers,2012,79
"Colbourn, Stephen",Robin Hood,Macmillan Publishers Limited,Macmillan Readers,2015,87
"Defoe, Daniel",Robinson Crusoe,Macmillan Publishers Limited,Macmillan Readers,2014,87
"Golding, William",Il signore delle mosche,Mondadori - De Agostini Libri,Evergreen. Grande biblioteca per ragazzi,1989,249
"De Céspedes, Alba",Quaderno proibito,Mondadori - De Agostini Libri,Evergreen. Grande biblioteca per ragazzi,1989,265
"Parise, Goffredo",Il prete bello,Mondadori - De Agostini Libri,Evergreen. Grande biblioteca per ragazzi,1989,236
"Bellow, Saul",Il re della pioggia,Mondadori - De Agostini Libri,Evergreen. Grande biblioteca per ragazzi,1990,238
"Bassani, Giorgio ",Il romanzo di Ferrara. Libro terzo. Il giardino dei Finzi-Contini,Mondadori - De Agostini Libri,Evergreen. Grande biblioteca per ragazzi,1990,291
"Kipling, Rudyard",Kim,Corriere della sera,I Grandi Romanzi - N.17,2002,334
"Mann, Thomas",Tonio Kröger,Corriere della sera,I Grandi Romanzi - N.23,2002,125
"Roth, Joseph",Giobbe,Corriere della sera,I Grandi Romanzi - N.18,2002,190
"Simenon, Georges",Tre camere a Manhattan,Corriere della sera,I Grandi Romanzi - N.12,2002,192
"Maraini, Dacia",La lunga vita di Marianna Ucrìa,Corriere della sera,I Grandi Romanzi Italiani - N. 4,2003,286
"Maraini, Dacia",La lunga vita di Marianna Ucrìa,Corriere della sera,I Grandi Romanzi Italiani - N. 4,2003,286
"Marotta, Giuseppe",L'oro di Napoli,Corriere della sera,I Grandi Romanzi Italiani - N. 46,2003,279
"von Chamisso, Adelbert",Storia straordinaria di Peter Schlemihl,La biblioteca di Repubblica,I grandi della narrativa - N. 26,2011,96
"Twain, Mark",Viaggio in paradiso,La biblioteca di Repubblica,I grandi della narrativa - N. 17,2011,93
"Fitzgerald, Francis Scott",Il grande Gatsby,La biblioteca di Repubblica,I grandi della narrativa - N. 11,2011,191
"James, Henry",Il carteggio Aspern,La biblioteca di Repubblica,I grandi della narrativa - N. 9,2011,111
"Carroll, Lewis",Le avventure di Alice nel Paese delle Meraviglie,La biblioteca di Repubblica,I grandi della narrativa - N. 7,2011,141
"Stevenson, Robert Louis",Lo strano caso del dottor Jekyll e del signor Hyde,La biblioteca di Repubblica,I grandi della narrativa - N. 4,2011,111
"Conrad, Joseph",La linea d'ombra,La biblioteca di Repubblica,I grandi della narrativa - N. 1,2011,159
"Conrad, Joseph",La linea d'ombra,La biblioteca di Repubblica,I grandi della narrativa - N. 1,2011,159
CEI,Vangeli e atti degli Apostoli. Testo e Guida alla Lettura,Edizioni Dehohiane Bologna,EDB Scuola,2012,368
Business Class Capital,"Il Sogno. Storie vincenti di brand, designer e creativi. Quando le idee diventano prodotti di successo.",Business Class Edizioni,I collezionabili - N. 3,2018,189
"Yehoshua, Abraham ""Boolie""",Un divorzio tardivo,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 11,1998,382
"Kerouac, Jack",Sulla strada,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 10,1998,311
"Buck, Pearl S.",La buona terra,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 9,1998,291
"Singer, Isaac B.",Gimpel l'idiota,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 8,1998,320
"Yan, Mo",L'uomo che allevava i gatti,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 6,1998,227
"Amado, Jorge",Mar Morto,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 4,1998,241
"Fitzgerald, Francis Scott",Il grande Gatsby,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 3,1998,163
"Hemingway, Ernest",Fiesta,Famiglia Cristiana,I grandi della narrativa - Novecento Mondiale - N. 2,1998,243
"Sartre, Jean-Paul",La nausea,La biblioteca di Repubblica,Novecento - N. 93,2003,221
"Llosa, Mario Vargas",La zia Julia e lo scribacchio,La biblioteca di Repubblica,Novecento - N. 86,2003,349
