AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"Bunker, Edward",Educazione di una canaglia,Giulio Einaudi editore,Einaudi Tascabili. Stile libero,2002,519
"Buzzati, Dino",Il deserto dei Tartari - Dodici racconti,Edizione Scolastiche Mondadori,l'Airone,1970,333
"Buzzati, Dino","Il panettone non bastò. Scritti, racconti e fiabe natalizie",Oscar Mondadori,Oscar scrittori moderni,2013,162
"Buzzati, Dino",La boutique del mistero,Arnoldo Mondadori Editore,Gli Oscar,1972,223
"Caldwell, Erskine",Il bastardo,Arnoldo Mondadori Editore,Gli Oscar,1972,158
"Calvino, Italo",Il barone rampante,Oscar Mondadori,Oscar junior,2018,236
"Calvino, Italo",Il castello dei destini incrociati,Arnoldo Mondadori,Oscar Mondadori,2003,112
"Calvino, Italo",Perché leggere i classici,Arnoldo Mondadori,,1992,328
"Calvino, Italo",Il sentiero dei nidi di ragno,Arnoldo Mondadori Editore,Oscar Moderni,2020,152
"Campanella, Tommaso",La città del sole - Questione quarta sull'ottima repubblica,Corriere della sera,I classici del pensiero libero,2011,106
"Campanella, Tommaso",La città del sole  ,Arnoldo Mondadori Editore,Edizione CDE,1996,101
"Camus, Albert",La caduta - L'esilio e il regno,Garzanti Editore,Garzanti per tutti,1966,220
"Camus, Albert",La morte felice,Rizzoli Editore,Inediti di Albert Camus,1971,171
"Cannarella, Massimo; Lagomarsino, Francesca; Queirolo Palmas, Luca",Messi al bando. Una ricerca-azione tra i giovani migranti e le loro organizzazioni della strada,Carta Società Cooperativa,,2008,157
"Capuana, Luigi",Tutte le fiabe,Newton Compton editori,Grandi Tascabili Economici 172,1992,592
"Capuana, Luigi",Cardello,Edizioni Paoline,,1988,104
"Carcasi, Giulia",Ma le stelle quante sono,Feltrinelli,Super UE Feltrinelli,2007,135 - 97
"Cardella, Lara",Volevo i pantaloni,Arnoldo Mondadori Editore,Edizione CDE,1990,121
"Carrano, Patrizia",L'età crudele,Arnoldo Mondadori Editore,,1995,126
Casa di Anne Frank,La storia di Anne Frank,Anne Frank Stichting,,2004,215
"Cassola, Carlo",Un uomo solo,Rizzoli Editore,Club Italiani dei lettori,1979,136
"Cassola, Carlo",La lezione della storia,Rizzoli Editore,Biblioteca Universale Rizzoli,1978,98
"Cattabiani, Alfredo","Volario. Simboli, miti e misteri degli esseri alati: uccelli, insetti e creature fantastiche",Arnoldo Mondadori Editore,Oscar saggi - Scienze,2002,526
"Centini, Massimo","Creature fantastiche. Fate, folletti, mostri e diavoli. Viaggio nella mitologia popolare. In Piemonte Liguria Valle d'Aosta",Priuli & Verlucca,Collana Schema Libero,2012,235
"Chavardes, Maurice",Il volo del calabrone,Edizioni Piemme,Narrativa Piemme,1992,195
"Chiesa, Giulietto; Vauro",I peggiori crimini del comunismo,Edizioni Piemme,,2004,171
"Chilanti, Felice",Si può anche vivere,Rusconi Editore,Biblioteca Rusconi,1977,176
"Christiane, Vera Felscherinow","Noi, i ragazzi dello zoo di Berlino",Rizzoli Editore,Rizzoli Vintage,2016,344
"Ciani, Ferdinando Maria",La scuola di Pinocchio. Verso una educazione del gratuito,Editrice esperienze,,2001,114
"Cibrario, Benedetta",Rossovermiglio,Feltrinelli,Universale Economica Feltrinelli,2009,213
"Cicerone, Marco Tullio",L'amicizia,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 53,1996,87
"Ciotti, Luigi","Chi ha paura delle mele marce? Giovani, droghe, emarginazione…",Società Editrice Internazionale,Edizioni Gruppo Abele,1992,191
"Ciotti, Luigi","Persone, non problemi. L'utopia concreta della strada",Edizioni Gruppo Abele,,1994,234
"Clavell, James",Tempesta,Arnoldo Mondadori Editore,Omnibus,1987,946
"Cleary, Thomas",La saggezza di Confucio. Il meglio della dottrina confuciana e dell'autentico I Ching,Arnoldo Mondadori Editore,Oscar varia,2001,176
"Clerico, Domenico",La croce sbagliata,Robin Edizioni,I luoghi del delitto,2010,224
Club Degli Editori,Giorni di Natale,Club Degli Editori,,1965,322
"Coelho, Paulo",Amore,Bompiani,,2010,128
"Coelho, Paulo",Undici minuti,Bompiani,,2013,261
"Coetzee, J. M.",Gioventù,Editrice La Stampa,Collezione d'autore,2006,166
"Coleridge, Samuel Taylor",La ballata del vecchio marinaio - Kubla Khan,Feltrinelli,Universale Economica Feltrinelli / Classici,2017,61
"Collodi, Carlo","Fiabe e racconti. I racconti delle fate, Pinocchio, Storie allegre",Newton Compton editori,Grandi Tascabili Economici 173,1992,428
"Colombo, Cristoforo",Giornale di bordo di Cristoforo Colombo,Arnoldo Mondadori Editore,Gli Oscar,1973,237
"Conan Doyle, Arthur",Il mondo perduto,Bompiani,Tascabili Bompiani,2011,316
"Conan Doyle, Arthur",Sherlock Holmes: Il mastino dei Baskerville,Newton Compton editori,I MiniMammut,2017,190
Conrad,Cuore di tenebra,Arnoldo Mondadori Editore,Oscar classici,2007,271
"Conrad, Joseph",Lord Jim,Newton Compton editori,Grandi Tascabili Economici,1991,285
"Conroy, Paul",Confesso che sono stata uccisa. A Provate War. La vera storia di Marie Colvin,Newton Compton editori,I volti della storia,2018,319
"Coplin, Amanda",L'albero delle melo,Ugo Guanda Editore,,2013,496
"Cordero, Mario",Cuneo. Una guida attraverso la città,Edizioni l'Arciere,Centosentieri,1998,256
"Cornwell, Patricia",Croce del Sud,Arnoldo Mondadori Editore,Omnibus,1999,357
"Corona, Mauro","Nel legno e nella pietra. Storie di piante, rocce, animali e uomini",Arnoldo Mondadori Editore,Oscar bestsellers,2011,272
"Corona, Mauro",I misteri della montagna,Arnoldo Mondadori Editore,Scrittori italiani e stranieri,2015,235
"Corona, Mauro",L'ombra del bastone,Arnoldo Mondadori Editore,Oscar bestsellers,2011,272
"Corona, Mauro",Come sasso nella corrente,Arnoldo Mondadori Editore,Oscar bestsellers,2016,199
"Corona, Mauro",La voce degli uomini freddi,Arnoldo Mondadori Editore,Oscar bestsellers,2016,235
"Corona, Mauro",La via del sole,Arnoldo Mondadori Editore,Scrittori italiani e stranieri,2017,161
"Corona, Mauro",La casa dei sette ponti,Feltrinelli,Universale Economica Feltrinelli,2017,63
"Corona, Mauro","Confessioni ultime. Una meditazione sulla vita, la natura, il silenzio, la libertà. ",Chiarelettere editore,Tascabili Chiarelettere,2016,114
"Corona, Mauro",Il bosco racconta,Arnoldo Mondadori Editore,,2017,311
"Corona, Mauro",Storia di Neve,Arnoldo Mondadori Editore,Oscar bestsellers,2018,818
"Coutaz, Lucie",Abbé Pierre. I poveri sono speranza,E.M.I.,,1977,155
"Covacich, Mauro",Storia di pazzi e di normali. La follia in una città di provincia,Theoria,Geografie,1993,138
"Crepet, Paolo",Cuori violenti. Viaggio nella criminlità giovanile,Feltrinelli,Universale economica,1998,159
"Crepet, Paolo",La ragione dei sentimenti,Einaudi,,2002,133
"D' Annunzio, Gabriele",La fiaccola sotto il moggio,Arnoldo Mondadori,,1981,179
"D' Annunzio, Gabriele",Il piacere,Arnoldo Mondadori Editore,Gli Oscar. I libri settimanali Mondadori,1965,356
"Da Vinci, Leonardo","Aforismi, novelle e profezie - Scritti letterari",Edimarketing,Classici di ogni tempo e paese,2008,297
"D'Avenia, Alessandro",L'arte di essere fragili. Come Leopardi può salvarti la vita,Arnoldo Mondadori editore,Scrittori italiani e stranieri,2017,209
"De Amicis, Edmondo",Cuore,Garzanti Editore,,1983,194
"De Balzac, Honoré",Papà Goriot,Editrice La Stampa,I Classici La Stampa 27,2003,245
